feature_id	C1_PRETERM_VS_TERM | bladder	C1_PRETERM_VS_TERM | placenta	C1_PRETERM_VS_TERM | uterus	C2_UPEC_VS_PBS_PREGNANCY | bladder	C2_UPEC_VS_PBS_PREGNANCY | placenta	C2_UPEC_VS_PBS_PREGNANCY | uterus	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder
INFLAMMATORY_CARBON_USE_INDEX	-1.1529232070436364	-0.3108931378900954	-1.1738109909206955	-0.26112748707472	0.7234038928883474	-2.458277933909834	-0.5116480099806522
INSULIN_RECEPTOR_IRS	-1.3402578002419596	-0.4097496453018356	-0.6759836665295377	-0.0467415211978371	-0.3546081531981574	0.1312348292247969	0.4497041760657825
LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	-0.8484877551076575	-0.4545503584274861	-0.0627265493089969	0.2939459045391361	-0.1814703505147327	-0.4230335671949173	0.0748613147052274
LEPTIN_SIGNALING	-0.8527724012270284	-0.1919679946975772	-0.7524117043029656	0.3394515424730212	-0.3559384468313442	0.6729834009207104	0.4165908496950087
LIPID_DROPLET_DYNAMICS	0.0201802224119687	0.1629906003038436	0.4010433374679129	0.2193009933274784	-0.4135863332305933	0.6910461652770182	-0.030099089641517
LXR_FXR_STEROL_SIGNALING	0.2498601283618348	0.1408811366917233	0.3929015315891652	0.1845363567021631	-0.3089981602939382	0.5616348946379178	-0.1096444647605434
METHIONINE_SAM_METHYLATION	-0.974855358925732	-0.431666090329905	-0.3595408500154374	0.2038560933422443	-0.4122239249925963	0.3390425321588316	0.1236707571004045
MINERALOCORTICOID_RESPONSE	-0.3497186221203499	-0.7444900529211202	-0.4946617089637732	0.4382564416029907	-0.1138374205775318	0.6978469967525693	0.4414312161189138
MTORC1_INSULIN_OUTPUT	-0.8517546154371797	-0.231067528762688	-0.1388560555225061	0.2898294371376078	-0.4779669129995367	0.4575154607217774	0.4528166626182239
MTOR_SIGNALING	-0.8057188489579195	0.1067236689885148	0.1649044424629158	0.4883531993430784	-0.4784524505023684	0.4048917584702233	-0.1315461676284759
NAD_METABOLISM	-0.5157014834788579	-0.1007154385925764	0.0014363055145729	0.2448261451459954	-0.564648844583666	0.7360484078283704	0.4449612884131995
NEUTROPHIL_NETOSIS_ANCHOR	0.0719187500937579	0.9311897917716284	0.2314004499277834	1.265255542033866	0.1432238542689094	-0.1952936895453198	0.1035655495540293
NFKB_MAPK_INFLAMMATION_ANCHOR	-0.5802083055318991	0.2998598713410063	0.1796772608549897	0.6839938611237788	-0.2364774451652148	0.3401538440683138	0.0632280771334503
NITRIC_OXIDE_SYNTHESIS_REGULATION	-0.057118308562182	-0.0167083531948147	0.2290624948263601	0.5745950366293203	-0.4823432471131333	-0.8010822653736148	0.773978298768809
OXIDATIVE_STRESS_NRF2_ANCHOR	-0.471335951988209	0.1309203690282578	0.2700407163010553	0.7363029411036537	-0.6962602874240469	0.4904882436922246	0.0767979929584866
PENTOSE_PHOSPHATE_PATHWAY	-0.5421655832476104	0.3172599260596709	0.1498006661778333	0.6129351439755868	-0.377739663449227	0.428492046396194	0.3985926277046877
PHOSPHOLIPID_METABOLISM	-0.6455749484980116	0.2066772328566986	0.0647531385367743	0.2476622491017035	-0.4966475564017939	0.5930338155036962	0.1812514372235786
PI3K_AKT_SIGNALING	-1.289974024948377	-0.363776852967889	-0.6352753686157185	0.1040068212709447	-0.2055410707151096	0.2048743292905752	0.4458709580838572
PLACENTAL_STEROID_METABOLISM	0.2693983197571547	0.0104384168928135	-0.1335145946838685	0.6393394121926572	-0.0657532120434069	-0.3187270208115405	0.7761391768770401
PPARG_ADIPOMETABOLIC_REGULATION	-0.4225736558547329	0.203366431931541	0.0270436827566696	0.1096599187511169	-0.3225482667085081	-0.2397280946976295	-0.0989952590175162
PPAR_SREBP_LXR_REGULATION	-0.3897187535088728	-0.0778318475584279	0.3420114969122291	0.416921514850779	-0.4309411285707986	-0.3223128222237361	-0.5415905503476
PREGNANCY_INFLAMMATION_ANCHOR	-0.5591454054564856	0.0045951462837565	-0.6189496258250285	0.7003963891748872	0.2162982558040384	-0.2642129103960434	0.3664402293437156
