feature_id	axis	display_label	proposed_figure_family	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	validation_class	independent_evidence_priority_score
INSULIN_RECEPTOR_IRS	insulin_irs_signaling	Insulin receptor and IRS signaling	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1896;GSE186800:0.6586;GSE252321:0.6087;GSE280297:-0.0467	3	1	positive	0.6923076923076923	0.3991139711995472	0.3991139711995472	0.6586311933890442	0	2	0	two_dataset_concordant_effect	5.09142166350724
ANDROGEN_RECEPTOR_SIGNALING	steroid_cholesterol_endocrine	Androgen receptor signaling	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0904;GSE186800:0.6070;GSE252321:0.5369;GSE280297:0.0072	3	1	positive	0.6923076923076923	0.2720276673114186	0.3136492338473797	0.6070000780702226	0	2	0	two_dataset_concordant_effect	5.005956926155072
CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	steroid_cholesterol_endocrine	Cholesterol uptake, transport and export	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0764;GSE186800:0.3367;GSE252321:0.7158;GSE280297:0.2843	4	0	positive	1.0	0.3104902340385001	0.3104902340385001	0.7158495728136308	0	1	0	limited_independent_support	3.8104902340385003
PHOSPHOLIPID_METABOLISM	lipid_metabolism	Phospholipid metabolism	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1203;GSE186800:0.5388;GSE252321:0.2913;GSE280297:0.2477	4	0	positive	1.0	0.26948551590084213	0.26948551590084213	0.538755285197116	0	1	0	limited_independent_support	3.769485515900842
LXR_FXR_STEROL_SIGNALING	steroid_cholesterol_endocrine	LXR and FXR sterol signaling	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1135;GSE186800:0.3144;GSE252321:0.6028;GSE280297:0.1845	4	0	positive	1.0	0.24946526686843096	0.24946526686843096	0.6028015184097174	0	1	0	limited_independent_support	3.749465266868431
AMPK_SIGNALING	carbohydrate_inflammatory_carbon	AMPK signaling	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0912;GSE186800:0.5721;GSE252321:0.0450;GSE280297:0.3936	4	0	positive	1.0	0.24243744354334795	0.24243744354334795	0.5721475889997217	0	1	0	limited_independent_support	3.742437443543348
ADIPONECTIN_SIGNALING	adipokine_signaling	Adiponectin signaling	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0881;GSE186800:0.5774;GSE252321:0.3428;GSE280297:0.0050	4	0	positive	1.0	0.2154497201536374	0.2154497201536374	0.577419264191277	0	1	0	limited_independent_support	3.7154497201536376
COMPLEMENT_REGULATORS	complement_architecture	Complement regulators	Figure_10	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0923;GSE186800:0.1554;GSE252321:0.2582;GSE280297:0.5237	4	0	positive	1.0	0.20678296968957416	0.20678296968957416	0.523732131138319	0	1	0	limited_independent_support	3.706782969689574
METHIONINE_SAM_METHYLATION	amino_acid_metabolism	Methionine and SAM metabolism	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0516;GSE186800:0.2439;GSE252321:-0.6231;GSE280297:0.2039	3	1	positive	0.9230769230769231	0.1277410186417246	0.22388888708427965	0.6231176897686507	0	1	0	limited_independent_support	3.646965810161203
TCA_OXPHOS	carbohydrate_inflammatory_carbon	TCA cycle and oxidative phosphorylation	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3733;GSE186800:-0.1070;GSE252321:-0.6033;GSE280297:0.4911	2	2	positive	0.6153846153846154	0.13312354483562794	0.43216863435811464	0.603288398609815	0	1	0	context_divergent_or_tissue_specific	3.5475532497427302
GLYCOGENOLYSIS	carbohydrate_inflammatory_carbon	Glycogenolysis	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0877;GSE186800:0.5278;GSE252321:-0.1401;GSE280297:0.0978	3	1	positive	0.9230769230769231	0.09275358273102124	0.11896593655045751	0.5277570488893757	0	1	0	limited_independent_support	3.5420428596273807
SPHINGOLIPID_CERAMIDE_METABOLISM	lipid_metabolism	Sphingolipid and ceramide metabolism	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1140;GSE186800:0.6418;GSE252321:0.2619;GSE280297:-0.3576	3	1	positive	0.6923076923076923	0.18795133979137854	0.30976390374745044	0.6418482665700248	0	1	0	limited_independent_support	3.502071596055143
