dataset	analysis_family	tissue	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	q_value	fdr_0_10	direction
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10	0.130834045096689	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	-0.5266738017879126	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	0.3431704758291174	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	-0.4971530114341522	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	0.2020359434638153	0.9211087420042644	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	0.0205876229426282	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	0.6627100216153843	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	0.4735556700610808	0.9211087420042644	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	0.1666802827006261	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	0.6663628809423575	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10	-0.4873583777399255	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10	-0.4555306999870017	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10	-0.3220655969583369	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	0.3022518246503143	0.9211087420042644	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	-0.0713421278584395	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	0.5892011741991348	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.2878657120830686	0.9211087420042644	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.2790208461456774	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.2985457207804661	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10	-0.1151856694214474	0.9642857142857142	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10	-0.216215191060664	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10	0.001188584768105	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	Figure_10	0.7169945504312463	0.9211087420042644	False	positive
