cluster	rank	gene_symbol	cluster_mean_log_expression	outside_mean_log_expression	specificity_difference	global_mean_log_expression
13	4	KLRD1	1.028831	0.3468981	0.6819329	0.41945624
13	5	MGL2	0.7902694	0.18112	0.6091494	0.24593365
13	6	TMEM176B	1.2789166	0.6845599	0.5943567	0.7477986
13	7	H2-DMB2	0.7708699	0.19181858	0.5790513	0.2534297
13	8	CLEC4B1	0.6942356	0.14613527	0.54810035	0.20445332
13	9	SLAMF9	0.6696181	0.18804348	0.48157465	0.23928331
13	10	TMEM176A	0.9863883	0.5384209	0.4479674	0.5860838
13	11	CFH	0.7355333	0.2940822	0.4414511	0.34105244
13	12	H2-OA	0.48689204	0.123961486	0.36293057	0.16257735
13	13	TRF	0.72996014	0.36759606	0.36236408	0.4061513
13	14	EGR1	1.0387156	0.73157704	0.30713856	0.76425755
13	15	TNIP3	0.4499626	0.16031386	0.2896487	0.1911325
13	16	MT1	0.9405485	0.6600554	0.28049308	0.68989974
13	17	HBB-BS	0.42721033	0.15119323	0.2760171	0.18056159
13	18	FLT3	0.44105524	0.16816995	0.2728853	0.19720486
13	19	HBA-A2	0.30485407	0.061500896	0.24335317	0.087393634
13	20	HBA-A1	0.3532202	0.11136089	0.2418593	0.13709475
13	21	BCL11A	0.35074064	0.11899778	0.23174286	0.1436552
13	22	CD209D	0.29283798	0.061218474	0.2316195	0.08586288
13	23	KLRK1	0.54037553	0.3131111	0.22726443	0.33729172
13	24	KLRB1B	0.3672799	0.14740285	0.21987703	0.17079785
13	25	SPINT1	0.34133673	0.12342464	0.21791208	0.1466106
14	1	GZMA	2.885809	0.3012203	2.5845885	0.30794007
14	2	NKG7	2.7871273	0.31153682	2.4755905	0.31797317
14	3	AW112010	2.8857272	0.5028093	2.382918	0.5090047
14	4	MKI67	2.5999155	0.24115534	2.35876	0.24728814
14	5	MS4A4B	2.5374327	0.33856833	2.1988645	0.34428552
14	6	TOP2A	2.2491558	0.22847693	2.0206788	0.23373038
14	7	KLRE1	2.1068568	0.13509469	1.9717622	0.14022122
14	8	PCLAF	2.0094619	0.13564658	1.8738153	0.1405185
14	9	GIMAP4	2.1201282	0.26655507	1.8535731	0.2713743
14	10	STMN1	1.8539141	0.15862697	1.6952872	0.16303459
14	11	IL2RB	1.9522486	0.27761865	1.6746299	0.28197217
14	12	CTSW	1.7963191	0.17000137	1.6263177	0.17422976
14	13	KLRB1C	1.6657706	0.11188271	1.553888	0.115922764
14	14	BIRC5	1.6160156	0.08803619	1.5279794	0.09200895
14	15	KLRD1	1.8911952	0.41561913	1.475576	0.41945624
14	16	KLRK1	1.790835	0.33350277	1.4573323	0.33729172
14	17	PTPRCAP	1.7710402	0.32288188	1.4481583	0.3266466
14	18	ARSB	1.6192205	0.20702288	1.4121976	0.21069457
14	19	HIST1H4D	1.5911111	0.22055131	1.3705597	0.22411469
14	20	NCR1	1.4581379	0.08895356	1.3691843	0.09251342
14	21	UBE2C	1.4277558	0.10775271	1.3200032	0.11118472
14	22	H2AFX	1.4587659	0.15754662	1.3012192	0.16092983
14	23	THY1	1.6222453	0.34282032	1.279425	0.34614637
14	24	CENPF	1.3099153	0.069765456	1.2401499	0.07298983
14	25	CCL5	1.7173498	0.49391618	1.2234336	0.49709675
15	1	PF4	2.750735	0.26174882	2.4889863	0.3779839
15	2	APOE	3.793308	1.4442016	2.3491063	1.5539024
15	3	LGMN	3.0334888	0.7597595	2.2737293	0.865943
15	4	SELENOP	2.7732947	0.78504115	1.9882536	0.87789136
15	5	CCL7	2.3006964	0.4432164	1.8574799	0.52996004
15	6	C1QB	2.5561137	0.71456766	1.841546	0.8005683
15	7	CTSL	2.2789376	0.49327895	1.7856586	0.5766706
15	8	MRC1	2.1388278	0.3998981	1.7389297	0.48110634
15	9	C1QC	2.1986413	0.4842455	1.7143958	0.564308
15	10	CCL2	2.4886785	0.82083935	1.667839	0.898728
15	11	C1QA	1.9897279	0.41987175	1.5698562	0.49318436
15	12	MAF	2.1756666	0.6534809	1.5221857	0.72456807
15	13	F13A1	1.8072708	0.3819238	1.425347	0.44848755
15	14	STAB1	1.5917057	0.23927882	1.3524269	0.3024374
15	15	C3AR1	1.6013716	0.30776376	1.293608	0.3681753
15	16	CCL12	1.4947647	0.21537124	1.2793934	0.27511913
15	17	MSR1	1.5360886	0.37335604	1.1627326	0.4276554
15	18	ARG1	1.6495581	0.49635822	1.1531999	0.55021274
15	19	MS4A7	1.2651479	0.130887	1.1342609	0.18385676
15	20	CD14	1.978294	0.8498186	1.1284754	0.9025199
15	21	MS4A6D	1.6081694	0.4812854	1.126884	0.5339106
15	22	SPP1	1.5064001	0.3803455	1.1260546	0.4329322
15	23	THBS1	1.7615936	0.64313805	1.1184555	0.6953689
15	24	ADGRE1	1.3202728	0.26643422	1.0538386	0.31564912
15	25	FCGR1	1.5230091	0.49288446	1.0301247	0.54099065
16	1	CXCR6	2.0607452	0.15207523	1.90867	0.21238916
16	2	TCRG-C1	2.0094109	0.16034676	1.8490641	0.21877721
16	3	THY1	2.084994	0.28940555	1.7955885	0.34614637
16	4	TMEM176B	2.4440925	0.6924474	1.7516451	0.7477986
16	5	TMEM176A	2.2654321	0.5312854	1.7341467	0.5860838
16	6	TRDC	1.7635907	0.046348866	1.7172419	0.100613676
16	7	CD3E	1.4215505	0.11929054	1.3022599	0.16044188
16	8	CD3G	1.3495376	0.11321784	1.2363198	0.15228552
16	9	IL7R	1.3988506	0.2084973	1.1903533	0.24611224
16	10	RAMP1	1.4036605	0.26262128	1.1410393	0.298678
16	11	SEPT1	1.4046785	0.29992986	1.1047486	0.33483994
16	12	SELENOP	1.9143156	0.84407187	1.0702437	0.87789136
16	13	LTB	1.3752204	0.31418592	1.0610344	0.34771448
16	14	TRBC2	1.3684072	0.31651604	1.0518912	0.3497559
16	15	IL18R1	1.1282653	0.07841055	1.0498548	0.11158596
16	16	SERPINB1A	1.1491783	0.121863574	1.0273147	0.15432681
16	17	SNORD13	1.2893741	0.26873586	1.0206382	0.30098814
16	18	PTPRCAP	1.3124137	0.29448017	1.0179335	0.3266466
16	19	CD163L1	0.9926613	0.010557165	0.9821041	0.041591644
16	20	MAF	1.6736019	0.69359994	0.9800019	0.72456807
16	21	F2R	1.0320934	0.062242854	0.96985054	0.0928901
16	22	TRDV4	0.9517902	0.030165924	0.9216243	0.05928924
16	23	GIMAP3	1.2201691	0.29902208	0.921147	0.32813084
16	24	IL2RA	1.0360552	0.19085689	0.84519833	0.21756504
16	25	RORA	0.9603406	0.17495151	0.7853891	0.1997697
17	1	IRF8	2.5643563	0.41121477	2.1531415	0.5251153
17	2	IFI205	2.4608455	0.4279092	2.0329363	0.53545177
17	3	XCR1	1.2780547	0.033366896	1.2446878	0.09921087
17	4	BC028528	1.2797993	0.26549897	1.0143003	0.3191555
17	5	TLR3	0.9928514	0.048570152	0.9442812	0.09852269
17	6	ANPEP	1.0546606	0.1139558	0.94070476	0.16371918
17	7	GATM	1.0140123	0.16771092	0.84630144	0.21248007
17	8	FLT3	0.9979119	0.15248169	0.8454302	0.19720486
17	9	SEPT3	0.8542595	0.048697714	0.8055618	0.09131201
17	10	BTLA	0.8529885	0.06972757	0.78326094	0.111162215
17	11	CCND1	1.3344438	0.5560523	0.7783915	0.59722817
17	12	CLEC9A	0.76215446	0.032475006	0.72967947	0.071075074
17	13	RTL8B	0.77670753	0.07147322	0.7052343	0.10878013
17	14	ITGAE	0.7305491	0.026694834	0.70385426	0.06392874
17	15	GCSAM	0.62958014	0.018977512	0.6106026	0.051278394
17	16	CD36	0.7823184	0.18949333	0.59282506	0.2208537
17	17	SNX22	0.57839376	0.01733057	0.5610632	0.047010794
17	18	TNNI2	0.6232072	0.08916603	0.53404117	0.11741677
17	19	ARSB	0.68588775	0.18415274	0.50173503	0.21069457
17	20	A530099J19RIK	0.5019581	0.025081184	0.47687688	0.050307974
17	21	QPCT	0.5682135	0.10563959	0.46257395	0.13010982
17	22	CADM1	0.44279006	0.030035587	0.41275448	0.05187031
17	23	ZFP366	0.44128028	0.038400933	0.40287936	0.059713244
17	24	P2RY10	0.56681794	0.2567759	0.31004205	0.2731767
17	25	PLEKHA5	0.36759907	0.064527206	0.30307186	0.080559775
