contrast_id	feature_id	axis	display_label	proposed_figure_family	n_tissues	n_positive_tissues	n_negative_tissues	directional_coherence_fraction	dominant_direction	median_hedges_g	mean_absolute_hedges_g
C2_UPEC_VS_PBS_PREGNANCY	ADRENERGIC_STRESS_SIGNALING	catecholamine_stress_adjacent	Adrenergic stress signaling	Figure_9	3	1	2	0.6666666666666666	negative	-0.4202849029495351	0.3917597963820955
C2_UPEC_VS_PBS_PREGNANCY	AGE_RAGE_SIGNALING	carbohydrate_inflammatory_carbon	AGE-RAGE signaling	Figure_8	3	1	2	0.6666666666666666	negative	-0.2087355514975391	0.36100037101234306
C2_UPEC_VS_PBS_PREGNANCY	AMINO_ACID_TRANSPORT	amino_acid_metabolism	Amino-acid transport	Figure_9	3	1	2	0.6666666666666666	negative	-0.0778555504629274	0.2282179639736468
C2_UPEC_VS_PBS_PREGNANCY	AMPK_INSULIN_COUNTERREGULATION	insulin_irs_signaling	AMPK counter-regulation of insulin signaling	Figure_8	3	2	1	0.6666666666666666	positive	0.1431634392663947	0.4247021673329318
C2_UPEC_VS_PBS_PREGNANCY	AMPK_SIGNALING	carbohydrate_inflammatory_carbon	AMPK signaling	Figure_8	3	2	1	0.6666666666666666	positive	0.3936415091050061	0.6386698942677663
C2_UPEC_VS_PBS_PREGNANCY	ANDROGEN_RECEPTOR_SIGNALING	steroid_cholesterol_endocrine	Androgen receptor signaling	Figure_7	3	2	1	0.6666666666666666	positive	0.0071667134795168	0.20342884474953105
C2_UPEC_VS_PBS_PREGNANCY	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	steroid_cholesterol_endocrine	Androgen and testosterone biosynthesis	Figure_7	3	1	2	0.6666666666666666	negative	-0.2572233320109406	0.522650082455249
C2_UPEC_VS_PBS_PREGNANCY	ARGININE_NO_UREA	amino_acid_metabolism	Arginine, nitric oxide and urea coupling	Figure_9	3	1	2	0.6666666666666666	negative	-0.3257433984221691	0.3127622387106012
C2_UPEC_VS_PBS_PREGNANCY	AROMATIC_AMINO_ACID_METABOLISM	amino_acid_metabolism	Aromatic amino-acid metabolism	Figure_9	3	1	2	0.6666666666666666	negative	-0.0859352267459318	0.30783860724709416
C2_UPEC_VS_PBS_PREGNANCY	BRANCHED_CHAIN_AMINO_ACIDS	amino_acid_metabolism	Branched-chain amino-acid metabolism	Figure_9	3	2	1	0.6666666666666666	positive	0.0684472456905793	0.5401062589135043
C2_UPEC_VS_PBS_PREGNANCY	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	catecholamine_stress_adjacent	Catecholamine biosynthesis and degradation	Figure_9	3	2	1	0.6666666666666666	positive	0.1395762639662431	0.2878179175737082
C2_UPEC_VS_PBS_PREGNANCY	CATECHOLAMINE_IRON_REDOX_INTERFACE	catecholamine_stress_adjacent	Catecholamine, iron and redox interface	Figure_9	3	3	0	1.0	positive	0.2901081783007024	0.3318516647784715
C2_UPEC_VS_PBS_PREGNANCY	CHOLESTEROL_BIOSYNTHESIS	steroid_cholesterol_endocrine	Cholesterol biosynthesis	Figure_7	3	2	1	0.6666666666666666	positive	0.2253376102206074	0.5782112336057822
C2_UPEC_VS_PBS_PREGNANCY	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	steroid_cholesterol_endocrine	Cholesterol uptake, transport and export	Figure_7	3	2	1	0.6666666666666666	positive	0.2842637032332668	0.32901537980671697
C2_UPEC_VS_PBS_PREGNANCY	COMPLEMENT_ALTERNATIVE	complement_architecture	Alternative complement pathway	Figure_10	3	3	0	1.0	positive	0.2987179578977494	0.4635204275547053
C2_UPEC_VS_PBS_PREGNANCY	COMPLEMENT_C3A_C5A_SIGNALING	complement_architecture	C3a and C5a inflammatory signaling	Figure_10	3	2	1	0.6666666666666666	positive	0.0680688980830458	0.2834951839355892
C2_UPEC_VS_PBS_PREGNANCY	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	complement_architecture	C3 convertase and amplification	Figure_10	3	2	1	0.6666666666666666	positive	0.3000879207652096	0.5162755511195262
C2_UPEC_VS_PBS_PREGNANCY	COMPLEMENT_CLASSICAL	complement_architecture	Classical complement pathway	Figure_10	3	2	1	0.6666666666666666	positive	0.2653474573865672	0.44648664800525495
C2_UPEC_VS_PBS_PREGNANCY	COMPLEMENT_COAGULATION_CROSSTALK	complement_architecture	Complement-coagulation crosstalk	Figure_10	3	1	2	0.6666666666666666	negative	-0.0385061427396443	0.1879078631188292
C2_UPEC_VS_PBS_PREGNANCY	COMPLEMENT_LECTIN	complement_architecture	Lectin complement pathway	Figure_10	3	0	3	1.0	negative	-0.101247873556204	0.24302849635539328
C2_UPEC_VS_PBS_PREGNANCY	COMPLEMENT_OPSONOPHAGOCYTOSIS	complement_architecture	Complement-opsonophagocytosis	Figure_10	3	2	1	0.6666666666666666	positive	0.4245595687724989	0.5174672897186888
C2_UPEC_VS_PBS_PREGNANCY	COMPLEMENT_REGULATORS	complement_architecture	Complement regulators	Figure_10	3	3	0	1.0	positive	0.523732131138319	0.5862001989109207
C2_UPEC_VS_PBS_PREGNANCY	COMPLEMENT_TERMINAL_MAC	complement_architecture	Terminal complement and membrane-attack complex	Figure_10	3	2	1	0.6666666666666666	positive	0.0283417151003333	0.3309741877538564
C2_UPEC_VS_PBS_PREGNANCY	EICOSANOID_PROSTAGLANDIN_METABOLISM	lipid_metabolism	Eicosanoid and prostaglandin metabolism	Figure_7	3	2	1	0.6666666666666666	positive	0.0704649243100196	0.15885482436462747
C2_UPEC_VS_PBS_PREGNANCY	ESTROGEN_BIOSYNTHESIS	steroid_cholesterol_endocrine	Estrogen biosynthesis and interconversion	Figure_7	3	2	1	0.6666666666666666	positive	0.2235907207186629	0.3627808236016959
C2_UPEC_VS_PBS_PREGNANCY	ESTROGEN_RECEPTOR_RESPONSE	steroid_cholesterol_endocrine	Estrogen receptor response	Figure_7	3	2	1	0.6666666666666666	positive	0.1650461221863599	0.16412674476548053
