dataset	dataset_label	layer	axis	submodule_id	display_label	n_module_genes	n_detected	coverage_fraction	coverage_class	detected_genes	missing_genes	proposed_figure_family
GSE280297	pregnancy-associated UTI model	bulk	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	11	11	1.0	adequate	CAP1;CCL2;IL6;MAPK1;MAPK3;NFKB1;RELA;RETN;SOCS3;TLR4;TNF		Figure_8
GSE112098	human urine inflammatory comparator	bulk	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	11	11	1.0	adequate	CAP1;CCL2;IL6;MAPK1;MAPK3;NFKB1;RELA;RETN;SOCS3;TLR4;TNF		Figure_8
GSE252321	UPEC-responsive single-cell validation	single-cell	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	11	11	1.0	adequate	CAP1;CCL2;IL6;MAPK1;MAPK3;NFKB1;RELA;RETN;SOCS3;TLR4;TNF		Figure_8
GSE186800	recurrence-trigger bladder model	bulk	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	13	12	0.9231	adequate	CCL2;FABP4;IL6;LCN2;LEP;NAMPT;RBP4;RETN;SAA1;SAA2;SERPINE1;TNF	CXCL8	Figure_8
GSE280297	pregnancy-associated UTI model	bulk	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	13	13	1.0	adequate	CCL2;CXCL8;FABP4;IL6;LCN2;LEP;NAMPT;RBP4;RETN;SAA1;SAA2;SERPINE1;TNF		Figure_8
GSE112098	human urine inflammatory comparator	bulk	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	13	13	1.0	adequate	CCL2;CXCL8;FABP4;IL6;LCN2;LEP;NAMPT;RBP4;RETN;SAA1;SAA2;SERPINE1;TNF		Figure_8
GSE252321	UPEC-responsive single-cell validation	single-cell	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	13	12	0.9231	adequate	CCL2;FABP4;IL6;LCN2;LEP;NAMPT;RBP4;RETN;SAA1;SAA2;SERPINE1;TNF	CXCL8	Figure_8
GSE186800	recurrence-trigger bladder model	bulk	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	12	12	1.0	adequate	ACSL1;ADIPOQ;CD36;CEBPA;CEBPB;DGAT1;FABP4;LPL;PLIN1;PPARG;RXRA;SLC2A4		Figure_8
GSE280297	pregnancy-associated UTI model	bulk	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	12	12	1.0	adequate	ACSL1;ADIPOQ;CD36;CEBPA;CEBPB;DGAT1;FABP4;LPL;PLIN1;PPARG;RXRA;SLC2A4		Figure_8
GSE112098	human urine inflammatory comparator	bulk	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	12	12	1.0	adequate	ACSL1;ADIPOQ;CD36;CEBPA;CEBPB;DGAT1;FABP4;LPL;PLIN1;PPARG;RXRA;SLC2A4		Figure_8
GSE252321	UPEC-responsive single-cell validation	single-cell	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	12	12	1.0	adequate	ACSL1;ADIPOQ;CD36;CEBPA;CEBPB;DGAT1;FABP4;LPL;PLIN1;PPARG;RXRA;SLC2A4		Figure_8
GSE186800	recurrence-trigger bladder model	bulk	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	13	13	1.0	adequate	AADAT;ACMSD;AFMID;CCBL1;CCBL2;HAAO;IDO1;IDO2;IL4I1;KMO;KYNU;QPRT;TDO2		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	13	13	1.0	adequate	AADAT;ACMSD;AFMID;CCBL1;CCBL2;HAAO;IDO1;IDO2;IL4I1;KMO;KYNU;QPRT;TDO2		Figure_9
GSE112098	human urine inflammatory comparator	bulk	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	13	12	0.9231	adequate	AADAT;ACMSD;AFMID;CCBL1;HAAO;IDO1;IDO2;IL4I1;KMO;KYNU;QPRT;TDO2	CCBL2	Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	13	10	0.7692	adequate	ACMSD;AFMID;HAAO;IDO1;IDO2;IL4I1;KMO;KYNU;QPRT;TDO2	AADAT;CCBL1;CCBL2	Figure_9
GSE186800	recurrence-trigger bladder model	bulk	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	16	16	1.0	adequate	ARG1;ARG2;ASL;ASS1;CPS1;DDAH1;DDAH2;GCH1;NOS1;NOS2;NOS3;ODC1;OTC;SLC7A1;SLC7A2;SLC7A5		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	16	16	1.0	adequate	ARG1;ARG2;ASL;ASS1;CPS1;DDAH1;DDAH2;GCH1;NOS1;NOS2;NOS3;ODC1;OTC;SLC7A1;SLC7A2;SLC7A5		Figure_9
GSE112098	human urine inflammatory comparator	bulk	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	16	16	1.0	adequate	ARG1;ARG2;ASL;ASS1;CPS1;DDAH1;DDAH2;GCH1;NOS1;NOS2;NOS3;ODC1;OTC;SLC7A1;SLC7A2;SLC7A5		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	16	16	1.0	adequate	ARG1;ARG2;ASL;ASS1;CPS1;DDAH1;DDAH2;GCH1;NOS1;NOS2;NOS3;ODC1;OTC;SLC7A1;SLC7A2;SLC7A5		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	13	12	0.9231	adequate	ASNS;GLS;GLS2;GLUD1;GLUL;GOT1;GOT2;GPT2;SLC1A5;SLC38A1;SLC38A2;SLC38A5	GLUD2	Figure_9
GSE280297	pregnancy-associated UTI model	bulk	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	13	12	0.9231	adequate	ASNS;GLS;GLS2;GLUD1;GLUL;GOT1;GOT2;GPT2;SLC1A5;SLC38A1;SLC38A2;SLC38A5	GLUD2	Figure_9
GSE112098	human urine inflammatory comparator	bulk	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	13	13	1.0	adequate	ASNS;GLS;GLS2;GLUD1;GLUD2;GLUL;GOT1;GOT2;GPT2;SLC1A5;SLC38A1;SLC38A2;SLC38A5		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	13	12	0.9231	adequate	ASNS;GLS;GLS2;GLUD1;GLUL;GOT1;GOT2;GPT2;SLC1A5;SLC38A1;SLC38A2;SLC38A5	GLUD2	Figure_9
GSE186800	recurrence-trigger bladder model	bulk	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	13	13	1.0	adequate	AMT;DHFR;GLDC;MTHFD1;MTHFD1L;MTHFD2;MTHFR;PHGDH;PSAT1;PSPH;SHMT1;SHMT2;TYMS		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	13	13	1.0	adequate	AMT;DHFR;GLDC;MTHFD1;MTHFD1L;MTHFD2;MTHFR;PHGDH;PSAT1;PSPH;SHMT1;SHMT2;TYMS		Figure_9
GSE112098	human urine inflammatory comparator	bulk	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	13	12	0.9231	adequate	AMT;DHFR;GLDC;MTHFD1;MTHFD2;MTHFR;PHGDH;PSAT1;PSPH;SHMT1;SHMT2;TYMS	MTHFD1L	Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	13	13	1.0	adequate	AMT;DHFR;GLDC;MTHFD1;MTHFD1L;MTHFD2;MTHFR;PHGDH;PSAT1;PSPH;SHMT1;SHMT2;TYMS		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	14	14	1.0	adequate	AHCY;AHCYL1;BHMT;CBS;CTH;DNMT1;DNMT3A;DNMT3B;GNMT;MAT1A;MAT2A;MAT2B;MTR;MTRR		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	14	14	1.0	adequate	AHCY;AHCYL1;BHMT;CBS;CTH;DNMT1;DNMT3A;DNMT3B;GNMT;MAT1A;MAT2A;MAT2B;MTR;MTRR		Figure_9
GSE112098	human urine inflammatory comparator	bulk	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	14	14	1.0	adequate	AHCY;AHCYL1;BHMT;CBS;CTH;DNMT1;DNMT3A;DNMT3B;GNMT;MAT1A;MAT2A;MAT2B;MTR;MTRR		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	14	14	1.0	adequate	AHCY;AHCYL1;BHMT;CBS;CTH;DNMT1;DNMT3A;DNMT3B;GNMT;MAT1A;MAT2A;MAT2B;MTR;MTRR		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	12	12	1.0	adequate	ACAD8;BCAT1;BCAT2;BCKDHA;BCKDHB;DBT;DLD;HIBCH;IVD;MCCC1;MCCC2;PPM1K		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	12	12	1.0	adequate	ACAD8;BCAT1;BCAT2;BCKDHA;BCKDHB;DBT;DLD;HIBCH;IVD;MCCC1;MCCC2;PPM1K		Figure_9
GSE112098	human urine inflammatory comparator	bulk	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	12	12	1.0	adequate	ACAD8;BCAT1;BCAT2;BCKDHA;BCKDHB;DBT;DLD;HIBCH;IVD;MCCC1;MCCC2;PPM1K		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	12	12	1.0	adequate	ACAD8;BCAT1;BCAT2;BCKDHA;BCKDHB;DBT;DLD;HIBCH;IVD;MCCC1;MCCC2;PPM1K		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	13	13	1.0	adequate	AANAT;COMT;DDC;HAAO;HGD;HPD;MAOA;MAOB;PAH;TAT;TH;TPH1;TPH2		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	13	13	1.0	adequate	AANAT;COMT;DDC;HAAO;HGD;HPD;MAOA;MAOB;PAH;TAT;TH;TPH1;TPH2		Figure_9
GSE112098	human urine inflammatory comparator	bulk	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	13	12	0.9231	adequate	AANAT;COMT;DDC;HAAO;HGD;HPD;MAOA;MAOB;TAT;TH;TPH1;TPH2	PAH	Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	13	9	0.6923	adequate	COMT;DDC;HAAO;HGD;HPD;MAOA;MAOB;TAT;TPH1	AANAT;PAH;TH;TPH2	Figure_9
GSE186800	recurrence-trigger bladder model	bulk	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	14	14	1.0	adequate	SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A5;SLC3A2;SLC43A1;SLC43A2;SLC6A14;SLC7A1;SLC7A11;SLC7A2;SLC7A5;SLC7A8		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	14	14	1.0	adequate	SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A5;SLC3A2;SLC43A1;SLC43A2;SLC6A14;SLC7A1;SLC7A11;SLC7A2;SLC7A5;SLC7A8		Figure_9
GSE112098	human urine inflammatory comparator	bulk	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	14	14	1.0	adequate	SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A5;SLC3A2;SLC43A1;SLC43A2;SLC6A14;SLC7A1;SLC7A11;SLC7A2;SLC7A5;SLC7A8		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	14	14	1.0	adequate	SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A5;SLC3A2;SLC43A1;SLC43A2;SLC6A14;SLC7A1;SLC7A11;SLC7A2;SLC7A5;SLC7A8		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	13	13	1.0	adequate	COMT;DBH;DDC;GCH1;MAOA;MAOB;PNMT;QDPR;SLC18A1;SLC18A2;SLC6A2;SPR;TH		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	13	13	1.0	adequate	COMT;DBH;DDC;GCH1;MAOA;MAOB;PNMT;QDPR;SLC18A1;SLC18A2;SLC6A2;SPR;TH		Figure_9
GSE112098	human urine inflammatory comparator	bulk	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	13	13	1.0	adequate	COMT;DBH;DDC;GCH1;MAOA;MAOB;PNMT;QDPR;SLC18A1;SLC18A2;SLC6A2;SPR;TH		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	13	10	0.7692	adequate	COMT;DDC;GCH1;MAOA;MAOB;QDPR;SLC18A1;SLC18A2;SLC6A2;SPR	DBH;PNMT;TH	Figure_9
GSE186800	recurrence-trigger bladder model	bulk	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	15	15	1.0	adequate	ADCY3;ADCY5;ADCY6;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;CREB1;GNAS;PRKACA		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	15	15	1.0	adequate	ADCY3;ADCY5;ADCY6;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;CREB1;GNAS;PRKACA		Figure_9
GSE112098	human urine inflammatory comparator	bulk	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	15	15	1.0	adequate	ADCY3;ADCY5;ADCY6;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;CREB1;GNAS;PRKACA		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	15	15	1.0	adequate	ADCY3;ADCY5;ADCY6;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;CREB1;GNAS;PRKACA		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	15	14	0.9333	adequate	COMT;CP;CYBB;FTH1;HMOX1;HP;LCN2;LTF;MAOA;MAOB;NCOA4;SLC11A1;SLC40A1;TFRC	FTL	Figure_9
GSE280297	pregnancy-associated UTI model	bulk	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	15	14	0.9333	adequate	COMT;CP;CYBB;FTH1;HMOX1;HP;LCN2;LTF;MAOA;MAOB;NCOA4;SLC11A1;SLC40A1;TFRC	FTL	Figure_9
GSE112098	human urine inflammatory comparator	bulk	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	15	15	1.0	adequate	COMT;CP;CYBB;FTH1;FTL;HMOX1;HP;LCN2;LTF;MAOA;MAOB;NCOA4;SLC11A1;SLC40A1;TFRC		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	15	14	0.9333	adequate	COMT;CP;CYBB;FTH1;HMOX1;HP;LCN2;LTF;MAOA;MAOB;NCOA4;SLC11A1;SLC40A1;TFRC	FTL	Figure_9
GSE186800	recurrence-trigger bladder model	bulk	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	13	11	0.8462	adequate	ADSL;ATIC;GART;GMPS;IMPDH1;IMPDH2;PAICS;PFAS;PPAT;PRPS1;PRPS2	ADSS1;ADSS2	Figure_9
GSE280297	pregnancy-associated UTI model	bulk	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	13	11	0.8462	adequate	ADSL;ATIC;GART;GMPS;IMPDH1;IMPDH2;PAICS;PFAS;PPAT;PRPS1;PRPS2	ADSS1;ADSS2	Figure_9
GSE112098	human urine inflammatory comparator	bulk	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	13	11	0.8462	adequate	ADSL;ATIC;GART;GMPS;IMPDH1;IMPDH2;PAICS;PFAS;PPAT;PRPS1;PRPS2	ADSS1;ADSS2	Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	13	11	0.8462	adequate	ADSL;ATIC;GART;GMPS;IMPDH1;IMPDH2;PAICS;PFAS;PPAT;PRPS1;PRPS2	ADSS1;ADSS2	Figure_9
GSE186800	recurrence-trigger bladder model	bulk	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	12	11	0.9167	adequate	ADA;ADK;AMPD1;AMPD2;AMPD3;APRT;DCK;ENTPD1;ENTPD2;NT5E;PNP	HPRT1	Figure_9
GSE280297	pregnancy-associated UTI model	bulk	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	12	11	0.9167	adequate	ADA;ADK;AMPD1;AMPD2;AMPD3;APRT;DCK;ENTPD1;ENTPD2;NT5E;PNP	HPRT1	Figure_9
GSE112098	human urine inflammatory comparator	bulk	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	12	11	0.9167	adequate	ADA;ADK;AMPD1;AMPD2;APRT;DCK;ENTPD1;ENTPD2;HPRT1;NT5E;PNP	AMPD3	Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	12	11	0.9167	adequate	ADA;ADK;AMPD1;AMPD2;AMPD3;APRT;DCK;ENTPD1;ENTPD2;NT5E;PNP	HPRT1	Figure_9
GSE186800	recurrence-trigger bladder model	bulk	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	11	11	1.0	adequate	ABCG2;ADA;AMPD1;AMPD2;AMPD3;AOX1;NT5C2;PNP;SLC22A12;SLC2A9;XDH		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	11	11	1.0	adequate	ABCG2;ADA;AMPD1;AMPD2;AMPD3;AOX1;NT5C2;PNP;SLC22A12;SLC2A9;XDH		Figure_9
GSE112098	human urine inflammatory comparator	bulk	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	11	10	0.9091	adequate	ABCG2;ADA;AMPD1;AMPD2;AOX1;NT5C2;PNP;SLC22A12;SLC2A9;XDH	AMPD3	Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	11	11	1.0	adequate	ABCG2;ADA;AMPD1;AMPD2;AMPD3;AOX1;NT5C2;PNP;SLC22A12;SLC2A9;XDH		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	12	11	0.9167	adequate	CAD;CMPK1;CTPS2;DHODH;NME1;RRM1;RRM2;RRM2B;TK1;TYMS;UMPS	CTPS1	Figure_9
GSE280297	pregnancy-associated UTI model	bulk	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	12	11	0.9167	adequate	CAD;CMPK1;CTPS2;DHODH;NME1;RRM1;RRM2;RRM2B;TK1;TYMS;UMPS	CTPS1	Figure_9
GSE112098	human urine inflammatory comparator	bulk	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	12	11	0.9167	adequate	CAD;CMPK1;CTPS1;CTPS2;DHODH;NME1;RRM2;RRM2B;TK1;TYMS;UMPS	RRM1	Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	12	11	0.9167	adequate	CAD;CMPK1;CTPS2;DHODH;NME1;RRM1;RRM2;RRM2B;TK1;TYMS;UMPS	CTPS1	Figure_9
GSE186800	recurrence-trigger bladder model	bulk	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	10	10	1.0	adequate	CDA;DCTD;DPYD;DPYS;NT5C;NT5C2;TYMP;UPB1;UPP1;UPP2		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	10	10	1.0	adequate	CDA;DCTD;DPYD;DPYS;NT5C;NT5C2;TYMP;UPB1;UPP1;UPP2		Figure_9
GSE112098	human urine inflammatory comparator	bulk	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	10	10	1.0	adequate	CDA;DCTD;DPYD;DPYS;NT5C;NT5C2;TYMP;UPB1;UPP1;UPP2		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	10	10	1.0	adequate	CDA;DCTD;DPYD;DPYS;NT5C;NT5C2;TYMP;UPB1;UPP1;UPP2		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	16	16	1.0	adequate	BST1;CD38;ENPP1;KYNU;NADSYN1;NAMPT;NAPRT;NMNAT1;NMNAT2;NMNAT3;PARP1;PARP2;QPRT;SIRT1;SIRT2;SIRT3		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	16	16	1.0	adequate	BST1;CD38;ENPP1;KYNU;NADSYN1;NAMPT;NAPRT;NMNAT1;NMNAT2;NMNAT3;PARP1;PARP2;QPRT;SIRT1;SIRT2;SIRT3		Figure_9
GSE112098	human urine inflammatory comparator	bulk	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	16	16	1.0	adequate	BST1;CD38;ENPP1;KYNU;NADSYN1;NAMPT;NAPRT;NMNAT1;NMNAT2;NMNAT3;PARP1;PARP2;QPRT;SIRT1;SIRT2;SIRT3		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	16	16	1.0	adequate	BST1;CD38;ENPP1;KYNU;NADSYN1;NAMPT;NAPRT;NMNAT1;NMNAT2;NMNAT3;PARP1;PARP2;QPRT;SIRT1;SIRT2;SIRT3		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	10	10	1.0	adequate	ARG1;ARG2;ASL;ASS1;CPS1;NAGS;OAT;OTC;SLC25A13;SLC25A15		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	10	10	1.0	adequate	ARG1;ARG2;ASL;ASS1;CPS1;NAGS;OAT;OTC;SLC25A13;SLC25A15		Figure_9
GSE112098	human urine inflammatory comparator	bulk	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	10	9	0.9	adequate	ARG1;ARG2;ASL;ASS1;CPS1;NAGS;OAT;OTC;SLC25A13	SLC25A15	Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	10	10	1.0	adequate	ARG1;ARG2;ASL;ASS1;CPS1;NAGS;OAT;OTC;SLC25A13;SLC25A15		Figure_9
GSE186800	recurrence-trigger bladder model	bulk	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	14	14	1.0	adequate	ARG1;ARG2;ASL;ASS1;DDAH1;DDAH2;GCH1;GCHFR;NOS1;NOS2;NOS3;PRMT1;SLC7A1;SLC7A2		Figure_9
GSE280297	pregnancy-associated UTI model	bulk	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	14	13	0.9286	adequate	ARG1;ARG2;ASL;ASS1;DDAH1;DDAH2;GCH1;GCHFR;NOS1;NOS2;NOS3;SLC7A1;SLC7A2	PRMT1	Figure_9
GSE112098	human urine inflammatory comparator	bulk	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	14	14	1.0	adequate	ARG1;ARG2;ASL;ASS1;DDAH1;DDAH2;GCH1;GCHFR;NOS1;NOS2;NOS3;PRMT1;SLC7A1;SLC7A2		Figure_9
GSE252321	UPEC-responsive single-cell validation	single-cell	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	14	14	1.0	adequate	ARG1;ARG2;ASL;ASS1;DDAH1;DDAH2;GCH1;GCHFR;NOS1;NOS2;NOS3;PRMT1;SLC7A1;SLC7A2		Figure_9
