working_figure_number	working_figure	path	filename	format	size_bytes	modified_epoch	png_width_px	png_height_px	candidate_score	canonical_U27A4_source
9	Working_Figure_9	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_9.pdf	UTI_HostOmics_U27A_Figure_9.pdf	pdf	77399	1784059877.912229			17875	False
9	Working_Figure_9	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_9.png	UTI_HostOmics_U27A2_Figure_9.png	png	590564	1784137647.043027	2366.0	2918.0	17871	False
9	Working_Figure_9	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_9.png	UTI_HostOmics_U27A31_Figure_9.png	png	634725	1784142657.899481	2379.0	2701.0	17871	False
9	Working_Figure_9	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_9.png	UTI_HostOmics_U27A3_Figure_9.png	png	669927	1784141579.4540646	2363.0	2730.0	17871	False
9	Working_Figure_9	project://06_figures/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_9_primary_effect_heatmap.png	UTI_HostOmics_U26B1_1_Figure_9_primary_effect_heatmap.png	png	533599	1784051630.4323843	3264.0	2922.0	17870	False
9	Working_Figure_9	project://06_figures/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_9_candidate_effect_heatmap.png	UTI_HostOmics_U26B1_Figure_9_candidate_effect_heatmap.png	png	664641	1784051157.4450812	3838.0	3036.0	17870	False
9	Working_Figure_9	project://06_figures/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_Figure_9_independent_effect_heatmap.png	UTI_HostOmics_U26B2B1_Figure_9_independent_effect_heatmap.png	png	290139	1784054234.8367364	2669.0	2135.0	17870	False
9	Working_Figure_9	project://06_figures/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_Figure_9_cross_dataset_effect_heatmap.png	UTI_HostOmics_U26B2B_Figure_9_cross_dataset_effect_heatmap.png	png	886942	1784053852.1037445	4157.0	3006.0	17870	False
9	Working_Figure_9	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_9.png	UTI_HostOmics_U27A_Figure_9.png	png	966894	1784059875.7360084	5553.0	3829.0	17870	False
10	Working_Figure_10	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.svg	UTI_HostOmics_U27A4_Figure_10.svg	svg	108422	1784143752.0			19031	True
